question,mean
I am comfortable learning Python,3.8
I am comfortable using the Python book,4.266666666666667
I am comfortable using the documentation of my HPC center,4
I can convert a simple equation to Python code,4.266666666666667
I can convert a simple text question to Python code,4.066666666666666
I can create a Python script,4.333333333333333
I can describe what a program is,3.6
I can describe what the Python interpreter is,3.7333333333333334
I can describe what the Python programming language is,3.8
I can find and use a Python module on Rackham,1.6666666666666667
I can load a Python version on my HPC cluster,4.333333333333333
I can login to my HPC cluster,4.466666666666667
I can run a Python script,4.4
I can use a text editor on my HPC cluster,4.266666666666667
"In Python, I can ask a user for input",3.933333333333333
"In Python, I can create a file",3.933333333333333
"In Python, I can create a variable",4.533333333333333
"In Python, I can find and use the operator for exponentiation",4.533333333333333
"In Python, I can import the matplotlib library",1.2
"In Python, I can read a file",3.8
"In Python, I can use a for loop",1.8
"In Python, I can use a variable",4.533333333333333
"In Python, I can use command-line arguments",1.4
"In Python, I can use user input in a calculation",3.8
"In Python, I can write a function that calls a function",1
"In Python, I can write a function that requires an argument",1.0666666666666667
"In Python, I can write a function with a return value",1.3333333333333333
"In Python, I can write a function without an argument and without a return type",0.8666666666666667
"In Python, I know what the modulo operator is and when to use it",4.2
