Timestamp,Untitled Question [I am comfortable using the UPPMAX documentation],Untitled Question [I am comfortable using the Python book],Untitled Question [I am comfortable learning Python],Untitled Question [I can login to Rackham],Untitled Question [I can load a Python version on Rackham],Untitled Question [I can start an interactive session on Rackham],Untitled Question [I can describe what the Python programming language is],Untitled Question [I can describe what the Python interpreter is],Untitled Question [I can describe what a program is],Untitled Question [I can use a text editor on Rackham],Untitled Question [I can create a Python script],Untitled Question [I can run a Python script],"Untitled Question [In Python, I can create a variable]","Untitled Question [In Python, I can use a variable]",Untitled Question [I can convert a simple equation to Python code],"Untitled Question [In Python, I can find and use the operator for exponentiation]","Untitled Question [In Python, I know what the modulo operator is and when to use it]",Untitled Question [I can convert a simple text question to Python code],"Untitled Question [In Python, I can ask a user for input]","Untitled Question [In Python, I can use user input in a calculation]",Untitled Question [I can find and use a Python module on Rackham],"Untitled Question [In Python, I can read a file]","Untitled Question [In Python, I can create a file]","Untitled Question [In Python, I can use command-line arguments]","Untitled Question [In Python, I can import the `matplotlib` library]","Untitled Question [In Python, I can use a for loop]","Untitled Question [In Python, I can write a function without an argument and without a return type]","Untitled Question [In Python, I can write a function that calls a function]","Untitled Question [In Python, I can write a function that requires an argument]","Untitled Question [In Python, I can write a function with a return value]",Any other feedback?
30/08/2024 14:55:45,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,,,,,"Great course. Now, Python is not scary anymore."
30/08/2024 15:21:13,5,5,5,5,5,5,4,5,4,5,4,5,5,5,3,5,4,4,5,5,1,4,4,3,0,0,0,0,0,0,
30/08/2024 15:21:27,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,,2,3,4,4,5,5,5,4,1,1,1,1,1,1,
30/08/2024 15:21:28,3,3,2,5,5,5,3,3,2,5,5,5,4,3,2,3,4,2,2,3,3,5,5,2,0,0,0,0,0,0,
30/08/2024 15:21:36,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,0,0,0,0,0,0,
30/08/2024 15:22:16,4,3,4,5,5,5,5,5,5,5,5,5,4,5,5,5,0,1,1,1,4,4,4,,,,,,,,
30/08/2024 15:22:17,5,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,0,1,1,1,Thanks for the class today! It was very well organized and I really appreciated your energy. I feel like maybe some things were a little basic for me and I wish we had gotten into the more advanced stuff at the end. But this really reinforced the basics for me and I'm still glad that I did it.
30/08/2024 15:23:08,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,Thank you for creating very interactive calss room 
30/08/2024 15:23:26,5,4,4,5,5,5,4,4,4,5,3,4,4,4,3,4,4,3,3,3,3,4,3,2,0,0,1,2,1,1,
30/08/2024 15:25:41,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,0,0,0,0,0,0,0,I liked Ri-kjells teaching style!
30/08/2024 15:25:44,4,4,4,5,5,4,3,3,3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,2,2,2,3,2,2,2,
