"Timestamp","Give you confidence levels of the following statements below: [I am comfortable using the documentation of my HPC center]","Give you confidence levels of the following statements below: [I am comfortable using the Python book]","Give you confidence levels of the following statements below: [I am comfortable learning Python]","Give you confidence levels of the following statements below: [I can login to my HPC cluster]","Give you confidence levels of the following statements below: [I can load a Python version on my HPC cluster]","Give you confidence levels of the following statements below: [I can describe what the Python programming language is]","Give you confidence levels of the following statements below: [I can describe what the Python interpreter is]","Give you confidence levels of the following statements below: [I can describe what a program is]","Give you confidence levels of the following statements below: [I can use a text editor on my HPC cluster]","Give you confidence levels of the following statements below: [I can create a Python script]","Give you confidence levels of the following statements below: [I can run a Python script]","Give you confidence levels of the following statements below: [In Python, I can create a variable]","Give you confidence levels of the following statements below: [In Python, I can use a variable]","Give you confidence levels of the following statements below: [I can convert a simple equation to Python code]","Give you confidence levels of the following statements below: [In Python, I can find and use the operator for exponentiation]","Give you confidence levels of the following statements below: [In Python, I know what the modulo operator is and when to use it]","Give you confidence levels of the following statements below: [I can convert a simple text question to Python code]","Give you confidence levels of the following statements below: [In Python, I can ask a user for input]","Give you confidence levels of the following statements below: [In Python, I can use user input in a calculation]","Give you confidence levels of the following statements below: [I can find and use a Python module on Rackham]","Give you confidence levels of the following statements below: [In Python, I can read a file]","Give you confidence levels of the following statements below: [In Python, I can create a file]","Give you confidence levels of the following statements below: [In Python, I can use command-line arguments]","Give you confidence levels of the following statements below: [In Python, I can import the matplotlib library]","Give you confidence levels of the following statements below: [In Python, I can use a for loop]","Give you confidence levels of the following statements below: [In Python, I can write a function without an argument and without a return type]","Give you confidence levels of the following statements below: [In Python, I can write a function that calls a function]","Give you confidence levels of the following statements below: [In Python, I can write a function that requires an argument]","Give you confidence levels of the following statements below: [In Python, I can write a function with a return value]","Any other feedback?"
"2025/03/04 9:58:54 am CET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","I thought i fulfilled the prerequisites but i apparently didnt. I thought the NAISS SUPR account was the account needed but it wasnt. I could therefore not participate in the course. It would be nice if the prerequisites was formulated more clearly. "
"2025/03/04 2:12:00 pm CET","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","4","4",""
"2025/03/04 2:50:43 pm CET","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"2025/03/04 2:54:10 pm CET","3","4","4","5","4","2","2","2","3","3","3","4","4","1","4","4","2","2","2","0","1","2","0","0","0","0","0","0","0",""
"2025/03/04 2:54:34 pm CET","4","4","3","5","4","3","2","3","3","2","3","4","4","4","4","4","3","4","4","4","2","2","2","0","0","0","0","0","0",""
"2025/03/04 2:54:41 pm CET","5","5","4","5","5","4","4","4","5","5","5","5","5","5","5","5","5","3","3","0","5","5","0","0","0","0","0","0","0",""
"2025/03/04 2:55:06 pm CET","4","4","3","4","5","5","5","5","5","5","5","5","5","5","5","3","5","2","2","0","4","4","1","0","2","1","1","1","1","I would have been happy to continue during the last hour as well!"
"2025/03/04 2:55:07 pm CET","5","5","3","5","5","3","3","3","5","5","5","5","5","4","5","4","4","5","4","3","4","4","3","3","2","1","1","2","2",""
"2025/03/04 2:56:12 pm CET","4","5","5","5","5","4","4","4","5","5","5","5","5","5","5","5","5","5","5","3","3","4","2","0","1","0","0","0","0","It would have been fun to do the remaining pages as well, or at least one more as we had another hour. "
"2025/03/04 2:56:35 pm CET","5","5","3","5","5","5","3","2","5","5","5","5","5","5","5","3","3","3","3","1","5","5","0","0","3","0","0","0","0",""
"2025/03/04 2:56:43 pm CET","4","5","5","5","4","4","5","4","5","5","5","5","5","5","5","5","5","5","5","0","5","5","0","4","2","0","2","2","2","The instructor is great, motivated, and interactive, which makes sure each participant understand each step. For me, the best part of this course was to let me practice HRC and run simply code. This practice removed the fear to start using HRC. I was afraid if I do something wrong while I am logging into HRC and mess up there. I absolutely recommend others to take this course if they have not."
"2025/03/04 2:58:32 pm CET","5","5","5","5","5","4","4","4","5","5","5","5","5","5","5","5","4","5","4","3","4","4","2","1","3","1","1","1","1","Could you suggest a resource for further learning?"
"2025/03/04 2:58:41 pm CET","3","4","3","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","5","1","1","1","1","1","1","5","I do not feel like we have learned to do what is mentioned in the 7 last questions, but I suppose I will be able to find out how to do those."
"2025/03/04 2:59:20 pm CET","4","5","5","3","3","4","4","3","3","5","5","5","5","5","5","5","5","5","5","0","4","4","0","0","0","0","0","0","0","Really nice intro to Python! Richel´s teaching style is very interactive and open, there is no need to feel scared to ask questions or give wrong answers. I like the breakout rooms, since it gives the possibility to engage more with other learners, and help each other out. The course is adjusted to the speed of the participants, so no one is rushed during the exercises. I think it's a good idea to base the course on a book, so we can keep on learning more in our own time afterwards, especially since the book includes exercises.  "
"2025/03/04 3:03:39 pm CET","4","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","0","5","5","0","0","4","0","0","0","0","I really enjoyed this course. I particularly enjoyed how interactive it is, and how Richel was able to put everyone at ease and create the perfect environment for interactions. Even though some of the material was maybe a bit too basic for my level of knowledge, the questions asked by Richel are a perfect way to get everyone to think more in depth about their knowledge, and reflect on how you could explain those concepts to someone else if you ever find yourself in that situation. I would have appreciated it if the course went slightly further into the introduction to python, but on the other end I do feel confident that I can do it on my own now. Thank you for the great work."
